ఆఫ్రికా	Africa
జూన్ 15	June 15
జూన్ 13	June 13
జూన్ 10	June 10
జూన్ 7	June 7
జూన్ 11	June 11
జూన్ 9	June 9
జూన్ 12	June 12
జూన్ 6	June 6
జూన్ 8	June 8
జూన్ 5	June 5
జూన్ 3	June 3
జూన్ 2	June 2
జూన్ 1	June 1
జూన్ 4	June 4
డిసెంబర్ 22	December 22
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
జూన్ 16	June 16
జూన్ 30	June 30
జూన్ 29	June 29
జూన్ 28	June 28
జూన్ 26	June 26
జూన్ 25	June 25
జూన్ 22	June 22
జూన్ 27	June 27
జూన్ 24	June 24
జూన్ 20	June 20
జూన్ 23	June 23
జూన్ 19	June 19
జూన్ 18	June 18
జూన్ 21	June 21
జూన్ 17	June 17
డిసెంబర్ 23	December 23
బ్రూస్ విల్లీస్	Bruce Willis
ఆర్నాల్డ్ స్క్వార్జెనెగర్	Arnold Schwarzenegger
జూలై 15	July 15
జూలై 13	July 13
జూలై 12	July 12
జూలై 10	July 10
జూలై 9	July 9
జూలై 14	July 14
జూలై 8	July 8
జూలై 7	July 7
జూలై 6	July 6
జూలై 5	July 5
జూలై 2	July 2
జూలై 4	July 4
జూలై 3	July 3
జూలై 1	July 1
జూలై 11	July 11
డిసెంబర్ 24	December 24
జూలై 31	July 31
జూలై 30	July 30
జూలై 29	July 29
జూలై 28	July 28
జూలై 27	July 27
జూలై 25	July 25
జూలై 24	July 24
జూలై 23	July 23
జూలై 26	July 26
జూలై 22	July 22
జూలై 19	July 19
జూలై 21	July 21
జూలై 20	July 20
జూలై 17	July 17
జూలై 18	July 18
జూలై 16	July 16
కాల్బంతి	Association football
డిసెంబర్ 25	December 25
1963	1963
డిసెంబర్ 26	December 26
1962	1962
ఐఫోన్	IPhone
ఆగష్టు 14	August 14
ఆగష్టు 15	August 15
ఆగష్టు 13	August 13
ఆగష్టు 12	August 12
ఆగష్టు 11	August 11
ఆగష్టు 10	August 10
ఆగష్టు 8	August 8
ఆగష్టు 7	August 7
ఆగష్టు 9	August 9
ఆగష్టు 5	August 5
ఆగష్టు 4	August 4
ఆగష్టు 2	August 2
ఆగష్టు 3	August 3
ఆగష్టు 6	August 6
ఆగష్టు 1	August 1
ఐప్యాడ్	IPad
డిసెంబర్ 27	December 27
జలాంతర్గామి	Submarine
ఆగష్టు 16	August 16
ఆగష్టు 29	August 29
ఆగష్టు 28	August 28
ఆగష్టు 30	August 30
ఆగష్టు 25	August 25
ఆగష్టు 26	August 26
ఆగష్టు 23	August 23
ఆగష్టు 27	August 27
ఆగష్టు 21	August 21
ఆగష్టు 20	August 20
ఆగష్టు 24	August 24
ఆగష్టు 18	August 18
ఆగష్టు 17	August 17
ఆగష్టు 22	August 22
ఆగష్టు 19	August 19
ఆగష్టు 31	August 31
మైకల్ జాక్సన్	Michael Jackson
డిసెంబర్ 28	December 28
అఫాసియా (మెదడు వ్యాధి వల్ల మాట పోవడం)	Aphasia
ఫ్లూ	Influenza
సెప్టెంబర్ 15	September 15
సెప్టెంబర్ 14	September 14
సెప్టెంబర్ 13	September 13
సెప్టెంబర్ 12	September 12
సెప్టెంబర్ 8	September 8
సెప్టెంబర్ 11	September 11
సెప్టెంబర్ 7	September 7
సెప్టెంబర్ 10	September 10
సెప్టెంబర్ 5	September 5
సెప్టెంబర్ 4	September 4
సెప్టెంబర్ 9	September 9
సెప్టెంబర్‌ 2	September 2
సెప్టెంబర్ 6	September 6
సెప్టెంబర్ 1	September 1
సెప్టెంబర్‌ 3	September 3
డిసెంబర్ 29	December 29
వివిక్త కొసైన్ పరివర్తనం	Discrete cosine transform
సెప్టెంబర్ 30	September 30
సెప్టెంబర్ 29	September 29
సెప్టెంబర్ 28	September 28
సెప్టెంబర్ 27	September 27
సెప్టెంబర్ 26	September 26
సెప్టెంబర్ 25	September 25
సెప్టెంబర్ 23	September 23
సెప్టెంబర్ 22	September 22
సెప్టెంబర్ 24	September 24
సెప్టెంబర్ 21	September 21
సెప్టెంబర్ 20	September 20
సెప్టెంబర్ 18	September 18
సెప్టెంబర్ 17	September 17
సెప్టెంబర్ 19	September 19
సెప్టెంబర్ 16	September 16
డిసెంబర్ 30	December 30
డిసెంబర్ 31	December 31
అక్టోబర్ 1	October 1
అక్టోబర్ 15	October 15
అక్టోబర్ 12	October 12
అక్టోబర్ 10	October 10
అక్టోబర్ 14	October 14
అక్టోబర్ 9	October 9
అక్టోబర్ 8	October 8
అక్టోబర్ 13	October 13
అక్టోబర్ 7	October 7
అక్టోబర్ 11	October 11
అక్టోబర్ 6	October 6
అక్టోబర్ 4	October 4
అక్టోబర్ 5	October 5
అక్టోబర్ 3	October 3
అక్టోబర్ 2	October 2
మేక	Goat
అక్టోబర్ 31	October 31
అక్టోబర్ 30	October 30
అక్టోబర్ 29	October 29
అక్టోబర్ 28	October 28
అక్టోబర్ 26	October 26
అక్టోబర్ 25	October 25
అక్టోబర్ 24	October 24
అక్టోబర్ 27	October 27
అక్టోబర్ 22	October 22
అక్టోబర్ 23	October 23
అక్టోబర్ 20	October 20
అక్టోబర్ 21	October 21
అక్టోబర్ 19	October 19
అక్టోబర్ 17	October 17
అక్టోబర్ 16	October 16
అక్టోబర్ 18	October 18
నవంబర్ 15	November 15
నవంబర్ 14	November 14
నవంబర్ 13	November 13
నవంబర్ 12	November 12
నవంబర్ 11	November 11
నవంబర్ 10	November 10
నవంబర్ 7	November 7
నవంబర్ 8	November 8
నవంబర్ 9	November 9
నవంబర్ 6	November 6
నవంబర్ 5	November 5
నవంబర్ 4	November 4
నవంబర్ 3	November 3
నవంబర్ 2	November 2
నవంబర్ 1	November 1
అబ్బాయి	Boy
నవంబర్ 30	November 30
నవంబర్ 29	November 29
నవంబర్ 28	November 28
నవంబర్ 27	November 27
నవంబర్ 26	November 26
నవంబర్ 25	November 25
నవంబర్ 23	November 23
నవంబర్ 24	November 24
నవంబర్ 21	November 21
నవంబర్ 20	November 20
నవంబర్ 22	November 22
నవంబర్ 19	November 19
నవంబర్ 18	November 18
నవంబర్ 17	November 17
నవంబర్ 16	November 16
అమ్మాయి	Girl
సిడ్నీ	Sydney
మెల్బోర్న్	Melbourne
ఎరుపు	Red
అగ్ని	Fire
ఫోటాన్	Photon
భూమి వాతావరణం	Atmosphere of Earth
జార్జ్ ఆర్వెల్	George Orwell
నైలు నది	Nile
కాంగో నది	Congo River
తోకచుక్క	Comet
టెహరాన్	Tehran
అద్దిస్ అబాబా	Addis Ababa
జకార్తా	Jakarta
అంకారా	Ankara
1961	1961
అడుగు (కొలమానం)	Foot (unit)
1960	1960
జావా (ద్వీపం)	Java
అమెజాన్ నది	Amazon River
మస్కట్	Muscat, Oman
గ్రహశకలం	Asteroid
అమెజాన్.కాం	Amazon.com
సూర్య గ్రహణం	Solar eclipse
అడిడాస్	Adidas
పాఠశాల	School
విశ్వవిద్యాలయం	University
ప్రిటోరియా	Pretoria
టేబుల్ టెన్నిస్	Table tennis
సూపర్ నోవా	Supernova
వికీపీడియా:Sandbox	Wikipedia:Sandbox
ఇల్లు	House
పట్టణం	Town
ల్యాప్‌టాప్	Laptop
కంప్యూటర్ హార్డ్‌వేర్	Computer hardware
బీజగణితం	Algebra
పటము	Map
నది	River
ఓఝస్కు	Osasco
గ్లాస్గో	Glasgow
న్యూట్రాన్ తార	Neutron star
టెలిస్కోపు	Telescope
రేడియో తరంగాలు	Radio wave
పెట్టుబడి	Investment
రేడియో ఖగోళశాస్త్రం	Radio astronomy
మదర్ బోర్డు	Motherboard
TV ట్యూనర్ కార్డ్	TV tuner card
కురితీబా	Curitiba
జన్య రాగాల జాబితా	List of Janya Ragas
అడవి	Forest
వర్గం:1888	Category:1888
యుఎస్‌బి ఫ్లాష్ డ్రైవ్ (USB Flash Drive)	USB flash drive
జిచిఉజ్ఫాలు	Zichyújfalu
హార్డ్ డిస్క్ డ్రైవ్	Hard disk drive
మిట్ రోమ్నీ	Mitt Romney
నౌకాదళం	Navy
సుందరవనాలు	Sundarbans
పడమటి కనుమలు	Western Ghats
భారత పర్వత రైల్వేలు	Mountain Railways of India
సహకార సంఘాలు	Cooperative
రాజీవ్ గాంధీ	Rajiv Gandhi
కన్ఫ్యూషియస్	Confucius
మార్లిన్ మన్రో	Marilyn Monroe
కర్బిన్ బ్ల్యు	Corbin Bleu
వర్గం:గణిత శాస్త్రము	Category:Mathematics
సూరత్	Surat
వర్గం:భారతదేశ చరిత్ర	Category:History of India
మూస:Country data Iran	Template:Country data Iran
బాలి	Bali
షెర్లాక్ హోమ్స్	Sherlock Holmes
సాంస్కృతిక పునరుజ్జీవనం	The Renaissance
గూడు	Nest
స్తంభం	Column
వర్గం:1888 జననాలు	Category:1888 births
యూరో	Euro
మధ్యధరా సముద్రము	Mediterranean Sea
లారీ పేజ్	Larry Page
క్రైస్తవ మతము	Christianity
బెర్లిన్ గోడ	Berlin Wall
గంగా నది	Ganges
బియ్యము	Rice
ఖండం	Continent
మూస:ALA	Template:ALA
అడిలైడ్	Adelaide
పక్షి	Bird
రాజధాని	Capital city
మూస:ఇస్లాం మతము	Template:Islam
గుజరాతి భాష	Gujarati language
నెల	Month
ముస్తఫా కమాల్ అతాతుర్క్	Mustafa Kemal Atatürk
1948	1948
నెమటోడ	Nematode
1949	1949
ఫిబ్రవరి 2008	February 2008
హువాంగ్ గ్జియాన్ హన్	Huang Xianfan
1956	1956
1941	1941
1945	1945
1958	1958
శాతవాహనులు	Satavahana dynasty
1926	1926
1947	1947
హిప్పోక్రేట్స్	Hippocrates
1944	1944
1952	1952
వజ్రం	Diamond
బిల్ గేట్స్	Bill Gates
కంప్యూటర్ మానిటర్	Computer monitor
విజ్ఞాన సర్వస్వము	Encyclopedia
ఫ్లాపీ	Floppy disk
డీవీడీ	DVD
రాండమ్ ఏక్సెస్ మెమరీ	Random-access memory
మొదటి పేజీ	Main Page
కేంద్రీయ కార్యసరణి విభాగం	Central processing unit
1959	1959
గ్రాఫైట్	Graphite
1957	1957
రాతి ఉప్పు	Halite
ట్రాన్సిస్టర్	Transistor
బాస్కెట్ బాల్	Basketball
క్రికెట్	Cricket
గోల్ఫ్	Golf
డేవిడ్ బౌవీ	David Bowie
ఒలింపిక్ క్రీడలు	Olympic Games
యురేషియా	Eurasia
గ్రేట్ డేన్	Great Dane
హిమాలయాలు	Himalayas
ఆండీస్ పర్వతాలు	Andes
రాకీ పర్వతాలు	Rocky Mountains
కేప్ టౌన్	Cape Town
డర్బన్	Durban
కాస్పియన్ సముద్రము	Caspian Sea
సాల్వడార్ డాలీ	Salvador Dalí
విన్సెంట్ వాన్ గోహ్	Vincent van Gogh
మైఖేలాంజెలో	Michelangelo
పాబ్లో పికాసో	Pablo Picasso
మోడెమ్	Modem
బస్సు	Bus
అబూ నువాస్	Abu Nuwas
లార్డ్ బైరన్	Lord Byron
బాబిలోన్	Babylon
అంటోన్ చెకోవ్	Anton Chekhov
